epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3974.27,1.39279,1.6537,1.32474,0.68257,0.69365,0.71022,0.51029,0.95599,1.13458,1.09648,0.06702,0.000333132,0.000333132
2,5017.9,1.32806,1.18504,1.30088,0.74544,0.76858,0.78086,0.57375,0.86996,0.89998,1.05794,0.0340134,0.000659867,0.000659867
3,6262.08,1.27352,1.05897,1.27041,0.79919,0.79649,0.82872,0.61914,0.8409,0.76552,1.0463,0.00100017,0.000980002,0.000980002
4,7283.5,1.24042,0.98895,1.24251,0.83727,0.79281,0.84171,0.63499,0.80575,0.71431,1.02768,0.0009703,0.0009703,0.0009703
5,8507.28,1.2119,0.91198,1.22479,0.80652,0.80986,0.84641,0.65607,0.76464,0.68713,1.00126,0.0009604,0.0009604,0.0009604
6,9734.64,1.16964,0.87021,1.20524,0.85141,0.83144,0.88079,0.68784,0.74073,0.61576,0.99015,0.0009505,0.0009505,0.0009505
7,10961.5,1.15313,0.83922,1.19731,0.8449,0.8265,0.88409,0.69406,0.70988,0.61268,0.97038,0.0009406,0.0009406,0.0009406
8,12187.4,1.1327,0.80242,1.17701,0.85979,0.84418,0.89259,0.70942,0.69484,0.55764,0.9697,0.0009307,0.0009307,0.0009307
9,13414,1.1214,0.77587,1.17334,0.87565,0.85118,0.90699,0.72902,0.66117,0.53382,0.95929,0.0009208,0.0009208,0.0009208
10,14846.9,1.1063,0.75658,1.1641,0.89652,0.84299,0.92012,0.74079,0.65242,0.51746,0.94918,0.0009109,0.0009109,0.0009109
11,16086.3,1.09949,0.73385,1.15963,0.91113,0.84666,0.91944,0.74459,0.63977,0.49691,0.94756,0.000901,0.000901,0.000901
12,17107.1,1.08403,0.72428,1.14568,0.92365,0.85748,0.92816,0.75883,0.63742,0.46659,0.94721,0.0008911,0.0008911,0.0008911
13,18333.1,1.06558,0.6964,1.14026,0.92844,0.86728,0.93259,0.76017,0.63437,0.45547,0.94212,0.0008812,0.0008812,0.0008812
14,19780.2,1.05466,0.67997,1.1323,0.93354,0.87804,0.94296,0.77,0.61757,0.42801,0.93008,0.0008713,0.0008713,0.0008713
15,879.438,1.0534,0.66405,1.13131,0.92984,0.87834,0.93834,0.77582,0.60911,0.42866,0.9311,0.0008614,0.0008614,0.0008614
16,1902.95,1.05055,0.65187,1.13037,0.93156,0.8917,0.94225,0.77756,0.60835,0.42289,0.9307,0.0008515,0.0008515,0.0008515
17,2764.7,1.03554,0.64349,1.12349,0.9221,0.89544,0.94575,0.77705,0.61328,0.40759,0.93162,0.0008416,0.0008416,0.0008416
18,3786.64,1.02416,0.62716,1.11029,0.94387,0.88722,0.95128,0.79135,0.58995,0.3855,0.91967,0.0008317,0.0008317,0.0008317
19,4809.25,1.02654,0.61788,1.1116,0.94114,0.88612,0.9473,0.7903,0.59479,0.39627,0.92641,0.0008218,0.0008218,0.0008218
20,5670.33,1.00629,0.61556,1.10676,0.95472,0.88965,0.95092,0.79158,0.57981,0.37915,0.91372,0.0008119,0.0008119,0.0008119
21,6694.27,1.00754,0.60728,1.111,0.93909,0.89293,0.95468,0.79715,0.57465,0.3796,0.91415,0.000802,0.000802,0.000802
22,7719.33,0.99728,0.59436,1.09795,0.94296,0.90402,0.95331,0.80132,0.57471,0.37377,0.91291,0.0007921,0.0007921,0.0007921
23,8950.11,0.9945,0.58566,1.0979,0.93961,0.91166,0.95475,0.80349,0.56729,0.36227,0.91147,0.0007822,0.0007822,0.0007822
24,10179.6,0.98132,0.5772,1.09218,0.95651,0.88807,0.95632,0.8074,0.55619,0.35447,0.90338,0.0007723,0.0007723,0.0007723
25,11204.1,0.97821,0.56984,1.0918,0.94058,0.90865,0.95565,0.80843,0.54854,0.35067,0.89976,0.0007624,0.0007624,0.0007624
26,12245.7,0.97354,0.57566,1.08292,0.94438,0.90988,0.95922,0.81222,0.54671,0.34555,0.89893,0.0007525,0.0007525,0.0007525
27,13270.8,0.96131,0.55701,1.08082,0.94645,0.91662,0.95865,0.81316,0.54542,0.34352,0.89826,0.0007426,0.0007426,0.0007426
28,14133.3,0.95299,0.5534,1.07536,0.95075,0.90146,0.96036,0.81204,0.547,0.3421,0.89549,0.0007327,0.0007327,0.0007327
29,15159.3,0.96308,0.56033,1.08086,0.952,0.90584,0.95859,0.8153,0.53668,0.33693,0.89288,0.0007228,0.0007228,0.0007228
30,16182,0.96718,0.55703,1.08107,0.94439,0.91406,0.95988,0.81481,0.53852,0.33789,0.89291,0.0007129,0.0007129,0.0007129
31,17205.2,0.95267,0.54916,1.07052,0.95425,0.90492,0.96321,0.82018,0.52694,0.3248,0.88865,0.000703,0.000703,0.000703
32,18068,0.95849,0.5472,1.07017,0.95599,0.91316,0.96368,0.82453,0.52091,0.31797,0.88455,0.0006931,0.0006931,0.0006931
33,19091,0.94484,0.54508,1.06946,0.96488,0.90093,0.96351,0.8243,0.52154,0.3166,0.88429,0.0006832,0.0006832,0.0006832
34,20321.8,0.93857,0.53898,1.05934,0.95675,0.91244,0.96348,0.82624,0.52005,0.31491,0.88606,0.0006733,0.0006733,0.0006733
35,21344,0.93732,0.53004,1.06464,0.94738,0.91847,0.9629,0.82752,0.51138,0.31271,0.88247,0.0006634,0.0006634,0.0006634
36,22206,0.93076,0.52319,1.06144,0.95515,0.91508,0.96466,0.83074,0.51386,0.31065,0.88257,0.0006535,0.0006535,0.0006535
37,23229,0.92489,0.51755,1.06059,0.9539,0.90856,0.96276,0.83029,0.50974,0.31075,0.88191,0.0006436,0.0006436,0.0006436
38,24253.3,0.92126,0.51663,1.05873,0.95947,0.91025,0.96415,0.83117,0.5088,0.30618,0.88166,0.0006337,0.0006337,0.0006337
39,25309.9,0.91118,0.51285,1.0546,0.95705,0.912,0.96343,0.82952,0.50854,0.30537,0.882,0.0006238,0.0006238,0.0006238
40,26365.4,0.91341,0.51336,1.05165,0.95533,0.91703,0.96432,0.83209,0.50833,0.30347,0.88142,0.0006139,0.0006139,0.0006139
41,27388.6,0.91708,0.51382,1.04739,0.96207,0.91908,0.96515,0.83262,0.50361,0.30043,0.87882,0.000604,0.000604,0.000604
42,28410.6,0.90248,0.5063,1.05089,0.9563,0.92146,0.96658,0.83654,0.49983,0.29929,0.87631,0.0005941,0.0005941,0.0005941
43,29432.9,0.90583,0.50109,1.04786,0.95465,0.92125,0.9665,0.83622,0.49978,0.29623,0.87632,0.0005842,0.0005842,0.0005842
44,30308.7,0.89734,0.4957,1.04622,0.95856,0.91843,0.96517,0.83607,0.49919,0.29484,0.87488,0.0005743,0.0005743,0.0005743
45,31353.3,0.88912,0.49194,1.04101,0.9586,0.9257,0.96807,0.84012,0.49865,0.29084,0.875,0.0005644,0.0005644,0.0005644
